Date,Open,Close,High,Low,Volume
2020-09-29 12:34:00,1.17073,1.17083,1.17093,1.17073,149
2020-09-29 12:35:00,1.17082,1.17078,1.17085,1.17075,151
2020-09-29 12:36:00,1.17079,1.17061,1.1708,1.17061,107
2020-09-29 12:37:00,1.17061,1.17032,1.17061,1.17029,206
2020-09-29 12:38:00,1.17032,1.17039,1.17051,1.17029,90
2020-09-29 12:39:00,1.17039,1.17036,1.17043,1.17027,98
2020-09-29 12:40:00,1.17036,1.17019,1.17037,1.17019,95
2020-09-29 12:41:00,1.17019,1.16975,1.17019,1.16971,269
2020-09-29 12:42:00,1.16973,1.16953,1.16973,1.16931,363
2020-09-29 12:43:00,1.16954,1.16994,1.16994,1.16954,123
2020-09-29 12:44:00,1.16994,1.17016,1.17016,1.16975,166
2020-09-29 12:45:00,1.17016,1.17033,1.17037,1.16999,175
2020-09-29 12:46:00,1.17033,1.17031,1.17037,1.17026,116
2020-09-29 12:47:00,1.17031,1.17047,1.17051,1.17031,115
2020-09-29 12:48:00,1.17045,1.17036,1.17045,1.17031,152
2020-09-29 12:49:00,1.17036,1.17041,1.17045,1.17035,47
2020-09-29 12:50:00,1.17041,1.17043,1.17047,1.17037,67
2020-09-29 12:51:00,1.17043,1.17043,1.17048,1.17041,62
2020-09-29 12:52:00,1.17043,1.17038,1.17049,1.17033,92
2020-09-29 12:53:00,1.17038,1.17013,1.17041,1.16999,165
2020-09-29 12:54:00,1.17014,1.17026,1.17027,1.17011,139
2020-09-29 12:55:00,1.17026,1.17037,1.17041,1.17026,74
2020-09-29 12:56:00,1.17037,1.17061,1.17065,1.17037,185
2020-09-29 12:57:00,1.17061,1.17035,1.17065,1.17035,138
2020-09-29 12:58:00,1.17035,1.17037,1.17042,1.17029,161
2020-09-29 12:59:00,1.17037,1.17015,1.17037,1.17015,159
2020-09-29 13:00:00,1.17015,1.17032,1.17033,1.17015,155
2020-09-29 13:01:00,1.17032,1.17033,1.17037,1.17023,155
2020-09-29 13:02:00,1.17033,1.17033,1.17037,1.17024,170
2020-09-29 13:03:00,1.17033,1.17003,1.17033,1.16993,352
2020-09-29 13:04:00,1.17003,1.16991,1.17003,1.16985,154
2020-09-29 13:05:00,1.16991,1.16973,1.16999,1.16971,233
2020-09-29 13:06:00,1.16973,1.16963,1.16977,1.16951,241
2020-09-29 13:07:00,1.16963,1.16959,1.16967,1.16952,142
2020-09-29 13:08:00,1.16959,1.16981,1.16981,1.16959,142
2020-09-29 13:09:00,1.16981,1.16991,1.16997,1.16981,120
2020-09-29 13:10:00,1.16991,1.16994,1.17009,1.1699,109
2020-09-29 13:11:00,1.16992,1.16967,1.16992,1.16955,103
2020-09-29 13:12:00,1.16967,1.16967,1.16977,1.16961,82
2020-09-29 13:13:00,1.16967,1.16969,1.16993,1.16965,114
2020-09-29 13:14:00,1.16971,1.16965,1.16973,1.16954,166
2020-09-29 13:15:00,1.16965,1.16961,1.16969,1.16959,118
2020-09-29 13:16:00,1.16961,1.16971,1.16979,1.16958,95
2020-09-29 13:17:00,1.16972,1.16989,1.16989,1.16972,65
2020-09-29 13:18:00,1.1699,1.17003,1.17003,1.16987,39
2020-09-29 13:19:00,1.17003,1.17043,1.17043,1.17002,123
2020-09-29 13:20:00,1.17045,1.17053,1.17061,1.17037,179
2020-09-29 13:21:00,1.17053,1.17053,1.17065,1.17046,87
