Date,Date,Open,Close,High,Low,Volume
2020-09-30 03:11:48,2020-09-30 03:11:48,1.17322,1.17322,1.17322,1.17322,0
2020-09-30 03:11:49,2020-09-30 03:11:49,1.1732,1.1732,1.1732,1.1732,1
2020-09-30 03:11:50,2020-09-30 03:11:50,1.1732,1.17318,1.1732,1.17318,4
2020-09-30 03:11:51,2020-09-30 03:11:51,1.17318,1.17319,1.17319,1.17318,5
2020-09-30 03:11:52,2020-09-30 03:11:52,1.17317,1.17318,1.17318,1.17317,5
2020-09-30 03:11:53,2020-09-30 03:11:53,1.17318,1.17318,1.17318,1.17318,2
2020-09-30 03:11:54,2020-09-30 03:11:54,1.17318,1.17318,1.17318,1.17318,0
2020-09-30 03:11:55,2020-09-30 03:11:55,1.17318,1.17318,1.17318,1.17318,2
2020-09-30 03:11:56,2020-09-30 03:11:56,1.17318,1.17322,1.17322,1.17318,9
2020-09-30 03:11:57,2020-09-30 03:11:57,1.17321,1.1732,1.17321,1.1732,4
2020-09-30 03:11:58,2020-09-30 03:11:58,1.1732,1.1732,1.1732,1.1732,1
2020-09-30 03:11:59,2020-09-30 03:11:59,1.1732,1.17319,1.1732,1.17319,2
2020-09-30 03:12:00,2020-09-30 03:12:00,1.17319,1.17319,1.1732,1.17319,6
2020-09-30 03:12:01,2020-09-30 03:12:01,1.17319,1.17321,1.17321,1.17319,2
2020-09-30 03:12:02,2020-09-30 03:12:02,1.17321,1.17322,1.17322,1.17321,2
2020-09-30 03:12:03,2020-09-30 03:12:03,1.17322,1.17331,1.17331,1.17322,8
2020-09-30 03:12:04,2020-09-30 03:12:04,1.17329,1.17332,1.17332,1.17329,4
2020-09-30 03:12:05,2020-09-30 03:12:05,1.17333,1.17329,1.17333,1.17329,4
2020-09-30 03:12:06,2020-09-30 03:12:06,1.17329,1.17329,1.17329,1.17329,0
2020-09-30 03:12:07,2020-09-30 03:12:07,1.17329,1.17329,1.17329,1.17329,0
2020-09-30 03:12:08,2020-09-30 03:12:08,1.17329,1.17329,1.17329,1.17329,0
2020-09-30 03:12:09,2020-09-30 03:12:09,1.17329,1.17329,1.17329,1.17329,0
2020-09-30 03:12:10,2020-09-30 03:12:10,1.17329,1.17331,1.17331,1.17329,4
2020-09-30 03:12:11,2020-09-30 03:12:11,1.17331,1.17331,1.17331,1.17331,0
2020-09-30 03:12:12,2020-09-30 03:12:12,1.17331,1.17331,1.17331,1.17331,1
2020-09-30 03:12:13,2020-09-30 03:12:13,1.17331,1.17329,1.17331,1.17329,3
2020-09-30 03:12:14,2020-09-30 03:12:14,1.17329,1.17329,1.17329,1.17329,0
2020-09-30 03:12:15,2020-09-30 03:12:15,1.17329,1.17329,1.17329,1.17329,0
2020-09-30 03:12:16,2020-09-30 03:12:16,1.17329,1.17329,1.17329,1.17329,0
2020-09-30 03:12:17,2020-09-30 03:12:17,1.17329,1.17329,1.17329,1.17329,0
2020-09-30 03:12:18,2020-09-30 03:12:18,1.17328,1.17325,1.17328,1.17325,4
2020-09-30 03:12:19,2020-09-30 03:12:19,1.17323,1.17323,1.17323,1.17323,1
2020-09-30 03:12:20,2020-09-30 03:12:20,1.17323,1.17323,1.17323,1.17323,0
2020-09-30 03:12:21,2020-09-30 03:12:21,1.17323,1.17323,1.17323,1.17323,0
2020-09-30 03:12:22,2020-09-30 03:12:22,1.17323,1.17323,1.17323,1.17323,0
2020-09-30 03:12:23,2020-09-30 03:12:23,1.17321,1.17319,1.17321,1.17319,4
2020-09-30 03:12:24,2020-09-30 03:12:24,1.17319,1.17319,1.17319,1.17319,0
2020-09-30 03:12:25,2020-09-30 03:12:25,1.17319,1.17321,1.17322,1.17319,7
2020-09-30 03:12:26,2020-09-30 03:12:26,1.1732,1.1732,1.1732,1.1732,1
2020-09-30 03:12:27,2020-09-30 03:12:27,1.1732,1.1732,1.1732,1.1732,0
2020-09-30 03:12:28,2020-09-30 03:12:28,1.17317,1.17317,1.17317,1.17317,4
2020-09-30 03:12:29,2020-09-30 03:12:29,1.17317,1.17317,1.17317,1.17317,0
2020-09-30 03:12:30,2020-09-30 03:12:30,1.17319,1.17319,1.17319,1.17319,4
2020-09-30 03:12:31,2020-09-30 03:12:31,1.17319,1.17319,1.1732,1.17319,3
2020-09-30 03:12:32,2020-09-30 03:12:32,1.17319,1.17319,1.17319,1.17319,1
2020-09-30 03:12:33,2020-09-30 03:12:33,1.17319,1.17319,1.17319,1.17319,0
2020-09-30 03:12:34,2020-09-30 03:12:34,1.17321,1.17323,1.17323,1.17321,4
2020-09-30 03:12:35,2020-09-30 03:12:35,1.17322,1.17323,1.17323,1.17322,6
